doi,title,year,citations,pdf_url,source
10.1016/j.joule.2018.01.004,Confining SnS2 Ultrathin Nanosheets in Hollow Carbon Nanostructures for Efficient Capacitive Sodium Storage,2018,358,http://www.cell.com/article/S2542435118300047/pdf,openalex
10.1038/s41467-021-25610-7,Boron-doped sodium layered oxide for reversible oxygen redox reaction in Na-ion battery cathodes,2021,357,https://www.nature.com/articles/s41467-021-25610-7.pdf,openalex
10.1016/j.chempr.2020.05.004,Unconventional Mn Vacancies in Mn–Fe Prussian Blue Analogs: Suppressing Jahn-Teller Distortion for Ultrastable Sodium Storage,2020,355,http://www.cell.com/article/S2451929420302278/pdf,openalex
10.1038/s41467-019-10551-z,Tailoring sodium intercalation in graphite for high energy and power sodium ion batteries,2019,354,https://www.nature.com/articles/s41467-019-10551-z.pdf,openalex
10.1039/c6ee01750a,"Structurally stable Mg-doped P2-Na<sub>2/3</sub>Mn<sub>1−y</sub>Mg<sub>y</sub>O<sub>2</sub> sodium-ion battery cathodes with high rate performance: insights from electrochemical, NMR and diffraction studies",2016,352,https://pubs.rsc.org/en/content/articlepdf/2016/ee/c6ee01750a,openalex
10.1038/s41598-019-52006-x,Natural biomass derived hard carbon and activated carbons as electrochemical supercapacitor electrodes,2019,352,https://www.nature.com/articles/s41598-019-52006-x.pdf,openalex
10.1038/s41467-019-11925-z,Conductive carbon nanofiber interpenetrated graphene architecture for ultra-stable sodium ion battery,2019,350,https://www.nature.com/articles/s41467-019-11925-z.pdf,openalex
10.1016/j.eng.2021.08.032,Engineering of Sodium-Ion Batteries: Opportunities and Challenges,2022,339,https://doi.org/10.1016/j.eng.2021.08.032,openalex
10.1038/s41467-018-07646-4,Manganese based layered oxides with modulated electronic and thermodynamic properties for sodium ion batteries,2018,335,https://www.nature.com/articles/s41467-018-07646-4.pdf,openalex
10.1039/c6cc06990h,Mechanistic insights into sodium storage in hard carbon anodes using local structure probes,2016,333,https://pubs.rsc.org/en/content/articlepdf/2016/cc/c6cc06990h,openalex
10.1002/adma.202101342,High‐Entropy Metal–Organic Frameworks for Highly Reversible Sodium Storage,2021,333,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202101342,openalex
10.1038/s41467-022-30942-z,Niobium-doped layered cathode material for high-power and low-temperature sodium-ion batteries,2022,332,https://www.nature.com/articles/s41467-022-30942-z.pdf,openalex
10.1038/s41467-019-10698-9,Unconventional CN vacancies suppress iron-leaching in Prussian blue analogue pre-catalyst for boosted oxygen evolution catalysis,2019,330,https://www.nature.com/articles/s41467-019-10698-9.pdf,openalex
10.1002/adma.202300002,Interfacial‐Catalysis‐Enabled Layered and Inorganic‐Rich SEI on Hard Carbon Anodes in Ester Electrolytes for Sodium‐Ion Batteries,2023,328,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202300002,openalex
10.1016/j.esci.2023.100139,Heterostructure engineering in electrode materials for sodium-ion batteries: Recent progress and perspectives,2023,326,https://doi.org/10.1016/j.esci.2023.100139,openalex
10.1038/s41467-017-00157-8,Environmentally stable interface of layered oxide cathodes for sodium-ion batteries,2017,323,https://www.nature.com/articles/s41467-017-00157-8.pdf,openalex
10.1002/anie.201915917,Rationally Designed Three‐Layered Cu<sub>2</sub>S@Carbon@MoS<sub>2</sub> Hierarchical Nanoboxes for Efficient Sodium Storage,2020,314,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.201915917,openalex
10.1016/j.esci.2021.10.003,Spinel/Post-spinel engineering on layered oxide cathodes for sodium-ion batteries,2021,311,https://doi.org/10.1016/j.esci.2021.10.003,openalex
10.1039/c6ee00640j,Life cycle assessment of sodium-ion batteries,2016,309,https://pubs.rsc.org/en/content/articlepdf/2016/ee/c6ee00640j,openalex
10.1039/c8ee02991a,Nature of the “Z”-phase in layered Na-ion battery cathodes,2019,308,https://pubs.rsc.org/en/content/articlepdf/2019/ee/c8ee02991a,openalex
10.1039/c6ee02641a,Self-polymerized dopamine as an organic cathode for Li- and Na-ion batteries,2016,304,https://pubs.rsc.org/en/content/articlepdf/2017/ee/c6ee02641a,openalex
10.1038/s41467-021-25074-9,Engineering Na+-layer spacings to stabilize Mn-based layered cathodes for sodium-ion batteries,2021,303,https://www.nature.com/articles/s41467-021-25074-9.pdf,openalex
10.1038/s41467-019-08359-y,Higher energy and safer sodium ion batteries via an electrochemically made disordered Na3V2(PO4)2F3 material,2019,300,https://www.nature.com/articles/s41467-019-08359-y.pdf,openalex
10.1016/j.nanoms.2019.02.007,Development of solid-state electrolytes for sodium-ion battery–A short review,2019,298,https://doi.org/10.1016/j.nanoms.2019.02.007,openalex
10.1021/jacs.9b01855,Lithium-Doping Stabilized High-Performance P2–Na<sub>0.66</sub>Li<sub>0.18</sub>Fe<sub>0.12</sub>Mn<sub>0.7</sub>O<sub>2</sub> Cathode for Sodium Ion Batteries,2019,298,https://www.osti.gov/biblio/1514702,openalex
10.1088/2516-1083/aba5f5,Hard carbons for sodium-ion batteries and beyond,2020,296,https://doi.org/10.1088/2516-1083/aba5f5,openalex
10.1038/ncomms7865,Radially aligned hierarchical columnar structure as a cathode material for high energy density sodium-ion batteries,2015,295,https://www.nature.com/articles/ncomms7865.pdf,openalex
10.1016/j.mattod.2017.07.005,Organic materials for rechargeable sodium-ion batteries,2017,294,https://doi.org/10.1016/j.mattod.2017.07.005,openalex
10.1002/anie.201606508,An Aqueous Symmetric Sodium‐Ion Battery with NASICON‐Structured Na<sub>3</sub>MnTi(PO<sub>4</sub>)<sub>3</sub>,2016,291,https://www.osti.gov/biblio/1533083,openalex
10.1002/advs.201902547,N/O Dual‐Doped Environment‐Friendly Hard Carbon as Advanced Anode for Potassium‐Ion Batteries,2020,288,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.201902547,openalex
10.1038/srep09254,Flexible Membranes of MoS2/C Nanofibers by Electrospinning as Binder-Free Anodes for High-Performance Sodium-Ion Batteries,2015,284,https://www.nature.com/articles/srep09254.pdf,openalex
10.1039/c5ta00277j,Effects of Mg doping on the remarkably enhanced electrochemical performance of Na<sub>3</sub>V<sub>2</sub>(PO<sub>4</sub>)<sub>3</sub> cathode materials for sodium ion batteries,2015,284,https://www.osti.gov/biblio/1177849,openalex
10.1021/am507679x,Low-Surface-Area Hard Carbon Anode for Na-Ion Batteries via Graphene Oxide as a Dehydration Agent,2015,284,https://www.osti.gov/servlets/purl/1224082,openalex
10.1021/acsnano.6b04577,Liquid Phase Exfoliated MoS<sub>2</sub> Nanosheets Percolated with Carbon Nanotubes for High Volumetric/Areal Capacity Sodium-Ion Batteries,2016,283,http://hdl.handle.net/2262/82815,openalex
10.1038/s41563-020-00870-8,Unlocking anionic redox activity in O3-type sodium 3d layered oxides via Li substitution,2021,283,https://univ-pau.hal.science/hal-03126950,openalex
10.1038/srep33733,Room-Temperature All-solid-state Rechargeable Sodium-ion Batteries with a Cl-doped Na3PS4 Superionic Conductor,2016,282,https://www.nature.com/articles/srep33733.pdf,openalex
10.1038/s41467-021-21488-7,"A stable cathode-solid electrolyte composite for high-voltage, long-cycle-life solid-state sodium-ion batteries",2021,280,https://www.nature.com/articles/s41467-021-21488-7.pdf,openalex
10.1016/j.esci.2021.12.008,Advanced characterizations and measurements for sodium-ion batteries with NASICON-type cathode materials,2021,280,https://doi.org/10.1016/j.esci.2021.12.008,openalex
10.1038/ncomms10308,Insertion compounds and composites made by ball milling for advanced sodium-ion batteries,2016,279,https://www.nature.com/articles/ncomms10308.pdf,openalex
10.1016/j.chempr.2017.05.021,Nitrogen-Doped Carbon for Sodium-Ion Battery Anode by Self-Etching and Graphitization of Bimetallic MOF-Based Composite,2017,278,http://www.cell.com/article/S245192941730236X/pdf,openalex
10.1039/c7ee03016a,Intercalation of Bi nanoparticles into graphite results in an ultra-fast and ultra-stable anode material for sodium-ion batteries,2018,273,https://www.osti.gov/biblio/1434117,openalex
10.1039/c4ta06186a,Phosphorus–carbon nanocomposite anodes for lithium-ion and sodium-ion batteries,2015,272,https://pubs.rsc.org/en/content/articlepdf/2015/ta/c4ta06186a,openalex
10.1002/advs.201800241,"Advanced Hierarchical Vesicular Carbon Co‐Doped with S, P, N for High‐Rate Sodium Storage",2018,265,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.201800241,openalex
10.1002/adfm.201700856,Oxygen Vacancies Evoked Blue TiO<sub>2</sub>(B) Nanobelts with Efficiency Enhancement in Sodium Storage Behaviors,2017,265,https://e-space.mmu.ac.uk/619262/1/adfm201700856%20%281%29.pdf,openalex
10.1088/2515-7655/ac01ef,2021 roadmap for sodium-ion batteries,2021,264,https://iopscience.iop.org/article/10.1088/2515-7655/ac01ef/pdf,openalex
10.1038/ncomms13318,Highly durable organic electrode for sodium-ion batteries via a stabilized α-C radical intermediate,2016,262,https://doi.org/10.1038/ncomms13318,openalex
10.1021/acsami.7b08560,Porous Structured Ni–Fe–P Nanocubes Derived from a Prussian Blue Analogue as an Electrocatalyst for Efficient Overall Water Splitting,2017,261,https://www.osti.gov/servlets/purl/1409514,openalex
10.1038/ncomms15888,Sodium vanadium titanium phosphate electrode for symmetric sodium-ion batteries with high power and long lifespan,2017,260,https://www.nature.com/articles/ncomms15888.pdf,openalex
10.1016/j.chempr.2017.05.004,Multi-functional Flexible Aqueous Sodium-Ion Batteries with High Safety,2017,258,http://www.cell.com/article/S2451929417302176/pdf,openalex
10.1007/s40820-020-00587-y,From Micropores to Ultra-micropores inside Hard Carbon: Toward Enhanced Capacity in Room-/Low-Temperature Sodium-Ion Storage,2021,256,https://link.springer.com/content/pdf/10.1007/s40820-020-00587-y.pdf,openalex
10.1002/anie.201902583,Synthesis of CuS@CoS<sub>2</sub> Double‐Shelled Nanoboxes with Enhanced Sodium Storage Properties,2019,255,https://dr.ntu.edu.sg/bitstream/10356/138572/2/Elegant%20Synthesis%20of%20CuS%20CoS2%20Double%20Shelled%20Nanoboxes%20with%20Enhanced%20Sodium%20Storage%20Properties.pdf,openalex
10.1038/s41467-022-30113-0,Entropy and crystal-facet modulation of P2-type layered cathodes for long-lasting sodium-based batteries,2022,254,https://www.nature.com/articles/s41467-022-30113-0.pdf,openalex
10.1021/acsenergylett.7b00623,A High-Voltage Aqueous Electrolyte for Sodium-Ion Batteries,2017,251,http://infoscience.epfl.ch/record/231593,openalex
10.1039/c8ee03632b,Nanostructures of solid electrolyte interphases and their consequences for microsized Sn anodes in sodium ion batteries,2019,242,http://ira.lib.polyu.edu.hk/bitstream/10397/100296/1/Huang_Nanostructures_Solid_Electrolyte.pdf,openalex
10.1002/adma.201906348,A Novel NASICON‐Type Na<sub>4</sub>MnCr(PO<sub>4</sub>)<sub>3</sub> Demonstrating the Energy Density Record of Phosphate Cathodes for Sodium‐Ion Batteries,2020,241,https://www.osti.gov/biblio/1598711,openalex
10.1021/acsomega.7b00259,Low-Cost and High-Performance Hard Carbon Anode Materials for Sodium-Ion Batteries,2017,241,https://doi.org/10.1021/acsomega.7b00259,openalex
10.1002/advs.201800680,Caging Na<sub>3</sub>V<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>F<sub>3</sub> Microcubes in Cross‐Linked Graphene Enabling Ultrafast Sodium Storage and Long‐Term Cycling,2018,240,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.201800680,openalex
10.1039/c4ee03361b,"High-performance symmetric sodium-ion batteries using a new, bipolar O3-type material, Na<sub>0.8</sub>Ni<sub>0.4</sub>Ti<sub>0.6</sub>O<sub>2</sub>",2015,240,https://tsukuba.repo.nii.ac.jp/record/33784/files/EES_8-4.pdf,openalex
10.1002/advs.201500200,A General Strategy to Fabricate Carbon‐Coated 3D Porous Interconnected Metal Sulfides: Case Study of SnS/C Nanocomposite for High‐Performance Lithium and Sodium Ion Batteries,2015,236,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.201500200,openalex
10.1002/aenm.202100729,A Novel NASICON‐Typed Na<sub>4</sub>VMn<sub>0.5</sub>Fe<sub>0.5</sub>(PO<sub>4</sub>)<sub>3</sub> Cathode for High‐Performance Na‐Ion Batteries,2021,236,http://ir.ipe.ac.cn/handle/122111/48670,openalex
10.1021/acs.chemmater.5b04208,Ab Initio Study of Phosphorus Anodes for Lithium- and Sodium-Ion Batteries,2016,235,https://doi.org/10.1021/acs.chemmater.5b04208,openalex
10.1002/aenm.201702781,Insights into the Na<sup>+</sup> Storage Mechanism of Phosphorus‐Functionalized Hard Carbon as Ultrahigh Capacity Anodes,2018,233,https://www.osti.gov/servlets/purl/1466401,openalex
10.1016/j.chempr.2018.05.018,Insights into the Improved High-Voltage Performance of Li-Incorporated Layered Oxide Cathodes for Sodium-Ion Batteries,2018,232,http://www.cell.com/article/S2451929418302274/pdf,openalex
10.1016/j.nanoen.2019.104219,Sulphur-doped carbon nanosheets derived from biomass as high-performance anode materials for sodium-ion batteries,2019,231,https://pure.au.dk/portal/en/publications/5c74c0d3-5ed4-42cd-a4da-f784c02613fd,openalex
10.1002/aenm.202302171,Revealing the Sodium Storage Mechanisms in Hard Carbon Pores,2023,230,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202302171,openalex
10.1002/adma.201704337,Boosting Sodium Storage in TiO<sub>2</sub> Nanotube Arrays through Surface Phosphorylation,2018,230,https://www.osti.gov/servlets/purl/1466313,openalex
10.1016/j.nanoen.2017.11.077,Structure-dependent performance of TiO2/C as anode material for Na-ion batteries,2017,228,https://www.osti.gov/servlets/purl/1422570,openalex
10.1021/acs.nanolett.8b03637,Understanding the Air-Exposure Degradation Chemistry at a Nanoscale of Layered Oxide Cathodes for Sodium-Ion Batteries,2018,224,https://www.osti.gov/biblio/1598250,openalex
10.1016/j.carbon.2018.06.036,Hard carbons derived from green phenolic resins for Na-ion batteries,2018,223,https://hal.science/hal-02022742,openalex
10.1002/adma.202304091,Investigating the Superior Performance of Hard Carbon Anodes in Sodium‐Ion Compared With Lithium‐ and Potassium‐Ion Batteries,2023,223,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202304091,openalex
10.1021/acs.chemmater.2c00522,High-Voltage Stabilization of O3-Type Layered Oxide for Sodium-Ion Batteries by Simultaneous Tin Dual Modification,2022,222,https://pubs.acs.org/doi/pdf/10.1021/acs.chemmater.2c00522,openalex
10.1016/j.mattod.2023.02.007,Fast-charging cathode materials for lithium &amp; sodium ion batteries,2023,222,https://doi.org/10.1016/j.mattod.2023.02.007,openalex
10.1038/srep12571,Exfoliated MoS2 Sheets and Reduced Graphene Oxide-An Excellent and Fast Anode for Sodium-ion Battery,2015,220,https://www.nature.com/articles/srep12571.pdf,openalex
10.1038/s41467-021-23132-w,Rapid mechanochemical synthesis of polyanionic cathode with improved electrochemical performance for Na-ion batteries,2021,217,https://www.nature.com/articles/s41467-021-23132-w.pdf,openalex
10.1039/d4sc00734d,"Hard carbon for sodium-ion batteries: progress, strategies and future perspective",2024,217,https://pubs.rsc.org/en/content/articlepdf/2024/sc/d4sc00734d,openalex
10.1016/j.ensm.2018.06.027,Metal oxide/graphene composite anode materials for sodium-ion batteries,2018,216,https://ars.els-cdn.com/content/image/1-s2.0-S2405829718304288-fx1_lrg.jpg,openalex
10.1016/j.carbon.2019.10.045,Advanced lignin-derived hard carbon for Na-ion batteries and a comparison with Li and K ion storage,2019,215,https://ars.els-cdn.com/content/image/1-s2.0-S0008622319310607-fx1_lrg.jpg,openalex
10.1016/j.jechem.2023.02.016,Regulating the electrochemical activity of Fe-Mn-Cu-based layer oxides as cathode materials for high-performance Na-ion battery,2023,215,https://doi.org/10.1016/j.jechem.2023.02.016,openalex
10.1149/1945-7111/ab75fd,"SEI Composition on Hard Carbon in Na-Ion Batteries After Long Cycling: Influence of Salts (NaPF<sub>6</sub>, NaTFSI) and Additives (FEC, DMCF)",2020,211,https://iopscience.iop.org/article/10.1149/1945-7111/ab75fd/pdf,openalex
10.1002/cey2.120,Progress in electrolyte and interface of hard carbon and graphite anode for sodium‐ion battery,2022,210,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cey2.120,openalex
10.3390/batteries5010010,Exploring the Economic Potential of Sodium-Ion Batteries,2019,208,https://www.mdpi.com/2313-0105/5/1/10/pdf?version=1547793372,openalex
10.1039/c7ee00827a,Insights into the structural effects of layered cathode materials for high voltage sodium-ion batteries,2017,207,https://www.osti.gov/biblio/1393523,openalex
10.1021/acs.chemmater.7b04096,Probing Solid–Solid Interfacial Reactions in All-Solid-State Sodium-Ion Batteries with First-Principles Calculations,2017,206,https://www.osti.gov/biblio/1480080,openalex
10.1016/j.nanoen.2017.01.021,Low temperature carbonization of cellulose nanocrystals for high performance carbon anode of sodium-ion batteries,2017,205,https://www.osti.gov/biblio/1460881,openalex
10.1016/j.nanoen.2019.04.063,1T MoS2 nanosheets with extraordinary sodium storage properties via thermal-driven ion intercalation assisted exfoliation of bulky MoS2,2019,204,https://www.sciencedirect.com/science/article/am/pii/S2211285519303647,openalex
10.1016/j.cej.2019.123050,"Prussian blue analogs (PBA) derived porous bimetal (Mn, Fe) selenide with carbon nanotubes as anode materials for sodium and potassium ion batteries",2019,203,https://www.osti.gov/biblio/1701896,openalex
10.1126/sciadv.1500330,Unraveling the storage mechanism in organic carbonyl electrodes for sodium-ion batteries,2015,203,http://advances.sciencemag.org/content/advances/1/8/e1500330.full.pdf,openalex
10.1002/aenm.201903968,A High‐Energy NASICON‐Type Cathode Material for Na‐Ion Batteries,2020,202,https://www.osti.gov/biblio/1596877,openalex
10.1021/acscentsci.5b00400,Carbon Nanotubes Produced from Ambient Carbon Dioxide for Environmentally Sustainable Lithium-Ion and Sodium-Ion Battery Anodes,2016,201,https://doi.org/10.1021/acscentsci.5b00400,openalex
10.1002/anie.202406889,Industrial‐Scale Hard Carbon Designed to Regulate Electrochemical Polarization for Fast Sodium Storage,2024,199,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202406889,openalex
10.1021/acs.chemmater.5b01984,Investigating the Energy Storage Mechanism of SnS<sub>2</sub>-rGO Composite Anode for Advanced Na-Ion Batteries,2015,197,https://www.osti.gov/biblio/1224496,openalex
10.1021/am5080437,A Comparative Study of Layered Transition Metal Oxide Cathodes for Application in Sodium-Ion Battery,2015,197,http://hdl.handle.net/11392/2334053,openalex
10.1021/acs.nanolett.7b05324,Self-Templated Formation of P2-type K<sub>0.6</sub>CoO<sub>2</sub> Microspheres for High Reversible Potassium-Ion Batteries,2018,197,https://www.osti.gov/biblio/1470232,openalex
10.1039/c8ta12441h,"Ni- and/or Mn-based layered transition metal oxides as cathode materials for sodium ion batteries: status, challenges and countermeasures",2019,196,https://pubs.rsc.org/en/content/articlepdf/2019/ta/c8ta12441h,openalex
10.1021/acsami.7b13018,Exploring Highly Reversible 1.5-Electron Reactions (V<sup>3+</sup>/V<sup>4+</sup>/V<sup>5+</sup>) in Na<sub>3</sub>VCr(PO<sub>4</sub>)<sub>3</sub> Cathode for Sodium-Ion Batteries,2017,196,https://www.osti.gov/biblio/1460535,openalex
10.1016/j.ensm.2016.04.003,Carbothermic reduction synthesis of red phosphorus-filled 3D carbon material as a high-capacity anode for sodium ion batteries,2016,196,https://www.osti.gov/biblio/1337408,openalex
10.1002/sus2.60,Regulating closed pore structure enables significantly improved sodium storage for hard carbon pyrolyzing at relatively low temperature,2022,194,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/sus2.60,openalex
10.1007/s41918-024-00215-y,"Recent Progress in Sodium-Ion Batteries: Advanced Materials, Reaction Mechanisms and Energy Applications",2024,194,https://link.springer.com/content/pdf/10.1007/s41918-024-00215-y.pdf,openalex
10.1016/j.esci.2023.100181,Revitalizing sodium-ion batteries via controllable microstructures and advanced electrolytes for hard carbon,2023,190,https://doi.org/10.1016/j.esci.2023.100181,openalex
10.1039/c7ra07231g,Pinecone biomass-derived hard carbon anodes for high-performance sodium-ion batteries,2017,190,https://pubs.rsc.org/en/content/articlepdf/2017/ra/c7ra07231g,openalex
10.1002/aenm.202303833,Review: Insights on Hard Carbon Materials for Sodium‐Ion Batteries (SIBs): Synthesis – Properties – Performance Relationships,2024,189,https://univ-pau.hal.science/hal-04671213v1/document,openalex
10.1021/acsenergylett.8b00312,Phosphorus: An Anode of Choice for Sodium-Ion Batteries,2018,188,https://www.osti.gov/biblio/1484017,openalex
10.1016/j.nanoen.2015.12.010,MoS2 nanosheets decorated Ni3S2@MoS2 coaxial nanofibers: Constructing an ideal heterostructure for enhanced Na-ion storage,2015,187,https://ars.els-cdn.com/content/image/1-s2.0-S2211285515004863-fx1_lrg.jpg,openalex
10.1002/anie.201810729,Hierarchical Microboxes Constructed by SnS Nanoplates Coated with Nitrogen‐Doped Carbon for Efficient Sodium Storage,2018,186,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.201810729,openalex
10.1021/jacs.3c00117,Realizing High Capacity and Zero Strain in Layered Oxide Cathodes via Lithium Dual-Site Substitution for Sodium-Ion Batteries,2023,184,https://www.osti.gov/servlets/purl/1969926,openalex
10.1021/jacs.1c06058,Correlating Local Structure and Sodium Storage in Hard Carbon Anodes: Insights from Pair Distribution Function Analysis and Solid-State NMR,2021,183,https://pubs.acs.org/doi/pdf/10.1021/jacs.1c06058,openalex
10.1038/s41467-024-47522-y,Consummating ion desolvation in hard carbon anodes for reversible sodium storage,2024,182,https://www.nature.com/articles/s41467-024-47522-y.pdf,openalex
10.34133/2021/9204217,Ionic Liquid-Based Electrolytes for Aluminum/Magnesium/Sodium-Ion Batteries,2021,180,https://downloads.spj.sciencemag.org/energymatadv/2021/9204217.pdf,openalex
